scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
board-64-keyed-false,reverse,160,770,928,160,terminal,251641503,2,base,700,3,39,0,0,0,0,0
board-64-keyed-false,replace-subtree,160,1447,1690,160,terminal,251641503,2,base,1365,6,45,0,0,0,0,0
board-64-keyed-true,one-label,160,139,186,160,terminal,251641503,2,base,80,0,36,0,0,0,0,0
board-64-keyed-true,all-labels,160,371,553,160,terminal,251641503,2,base,308,0,38,0,0,0,0,0
board-64-keyed-true,reverse,160,153,211,160,terminal,251641503,2,base,88,2,38,0,0,0,0,0
board-64-keyed-true,replace-subtree,160,1568,1965,160,terminal,251641503,2,base,1483,5,43,0,0,0,0,0
board-256-keyed-false,one-label,160,257,338,160,terminal,251641503,2,base,99,0,130,0,0,0,0,0
board-256-keyed-false,all-labels,160,5914,6911,160,terminal,251641503,2,base,5715,0,158,0,0,0,0,0
board-256-keyed-false,reverse,160,5956,6430,160,terminal,251641503,2,base,5694,43,157,0,0,0,0,0
board-256-keyed-false,replace-subtree,160,21261,22446,160,terminal,251641503,2,base,21003,51,174,0,0,0,0,0
board-256-keyed-true,one-label,160,467,835,160,terminal,251641503,2,base,309,0,127,0,0,0,0,0
board-256-keyed-true,all-labels,160,1486,1872,160,terminal,251641503,2,base,1299,0,135,0,0,0,0,0
board-256-keyed-true,reverse,160,522,784,160,terminal,251641503,2,base,344,8,131,0,0,0,0,0
board-256-keyed-true,replace-subtree,160,21830,23339,160,terminal,251641503,2,base,21614,51,175,0,0,0,0,0
dashboard,mount-first-frame,160,394,511,160,terminal,,2,after,,,,,,,,
agent,mount-first-frame,160,140,216,160,terminal,,2,after,,,,,,,,
files,mount-first-frame,160,315,465,160,terminal,,2,after,,,,,,,,
editor,mount-first-frame,160,137,212,160,terminal,,2,after,,,,,,,,
finance,mount-first-frame,160,459,650,160,terminal,,2,after,,,,,,,,
board-16-keyed-false,one-label,160,31,35,160,terminal,1359462507,2,after,5,0,6,0,0,0,0,0
board-16-keyed-false,all-labels,160,39,42,160,terminal,1359462507,2,after,13,0,6,0,0,0,0,0
board-16-keyed-false,reverse,160,41,46,160,terminal,1359462507,2,after,14,1,7,0,0,0,0,0
board-16-keyed-false,replace-subtree,160,100,143,160,terminal,1359462507,2,after,60,1,8,0,0,0,0,0
board-16-keyed-true,one-label,160,44,57,160,terminal,1359462507,2,after,19,0,6,0,0,0,0,0
board-16-keyed-true,all-labels,160,56,65,160,terminal,1359462507,2,after,29,0,6,0,0,0,0,0
board-16-keyed-true,reverse,160,49,51,160,terminal,1359462507,2,after,21,0,7,0,0,0,0,0
board-16-keyed-true,replace-subtree,160,117,161,160,terminal,1359462507,2,after,76,1,8,0,0,0,0,0
board-64-keyed-false,one-label,160,78,99,160,terminal,251641503,2,after,18,0,37,0,0,0,0,0
board-64-keyed-false,all-labels,160,115,147,160,terminal,251641503,2,after,53,0,37,0,0,0,0,0
board-64-keyed-false,reverse,160,119,167,160,terminal,251641503,2,after,53,3,38,0,0,0,0,0
board-64-keyed-false,replace-subtree,160,586,841,160,terminal,251641503,2,after,511,7,42,0,0,0,0,0
board-64-keyed-true,one-label,160,138,168,160,terminal,251641503,2,after,77,0,37,0,0,0,0,0
board-64-keyed-true,all-labels,160,174,216,160,terminal,251641503,2,after,112,0,38,0,0,0,0,0
board-64-keyed-true,reverse,160,150,187,160,terminal,251641503,2,after,83,2,38,0,0,0,0,0
