scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,version,phasesUs
board-16-keyed-true,all-labels,300,54,69,300,terminal,1359462507,1,base,"{""build"": 27, ""coverage"": 0, ""layout"": 0, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,reverse,300,50,69,300,terminal,1359462507,1,base,"{""build"": 22, ""coverage"": 0, ""layout"": 0, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,replace-subtree,300,99,136,300,terminal,1359462507,1,base,"{""build"": 58, ""coverage"": 0, ""layout"": 1, ""paint"": 8, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,one-label,300,78,105,300,terminal,251641503,1,base,"{""build"": 18, ""coverage"": 0, ""layout"": 0, ""paint"": 37, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,all-labels,300,114,132,300,terminal,251641503,1,base,"{""build"": 53, ""coverage"": 0, ""layout"": 0, ""paint"": 37, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,reverse,300,120,137,300,terminal,251641503,1,base,"{""build"": 54, ""coverage"": 0, ""layout"": 3, ""paint"": 38, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,replace-subtree,300,312,490,300,terminal,251641503,1,base,"{""build"": 240, ""coverage"": 0, ""layout"": 5, ""paint"": 42, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,one-label,300,134,167,300,terminal,251641503,1,base,"{""build"": 74, ""coverage"": 0, ""layout"": 0, ""paint"": 37, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,all-labels,300,172,214,300,terminal,251641503,1,base,"{""build"": 110, ""coverage"": 0, ""layout"": 0, ""paint"": 38, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-true,reverse,300,149,202,300,terminal,251641503,1,base,"{""build"": 83, ""coverage"": 0, ""layout"": 2, ""paint"": 38, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
